textname,textcategory,textsubcategory,Demo looks ok?,urlname
owncloud,files,files,,http://installatron.com/owncloud/demo
phpfilemanager,files,files,,http://installatron.com/phpfilemanager/demo
ipfilemanager,files,files,,http://installatron.com/ipfilemanager/demo
coppermine,files,gallery,,http://installatron.com/coppermine/demo
gallery,files,gallery,,http://installatron.com/gallery/demo
piwigo,files,gallery,,http://installatron.com/piwigo/demo
tinywebgallery,files,gallery,,http://installatron.com/tinywebgallery/demo
zenphoto,files,gallery,,http://installatron.com/zenphoto/demo
phplinks,miscellaneous,bookmarks,,http://installatron.com/phplinks/demo
sitebar,miscellaneous,bookmarks,,http://installatron.com/sitebar/demo
yourls,miscellaneous,bookmarks,,http://installatron.com/yourls/demo
itronclock,miscellaneous,clock,,http://installatron.com/itronclock/demo
webcards,miscellaneous,e-cards,,http://installatron.com/webcards/demo
contactform,miscellaneous,email,,http://installatron.com/contactform/demo
formtools,miscellaneous,forms,,http://installatron.com/formtools/demo
phpformgenerator,miscellaneous,forms,,http://installatron.com/phpformgenerator/demo
webtrees,miscellaneous,genealogy,,http://installatron.com/webtrees/demo
feedonfeeds,miscellaneous,rss,,http://installatron.com/feedonfeeds/demo
tinytinyrss,miscellaneous,rss,,http://installatron.com/tinytinyrss/demo
selfoss,miscellaneous,rss,,http://installatron.com/selfoss/demo
aardvarkts,survey&stats,poll,,http://installatron.com/aardvarkts/demo
advancedpoll,survey&stats,poll,,http://installatron.com/advancedpoll/demo
limesurvey,survey&stats,poll,,http://installatron.com/limesurvey/demo
phpesp,survey&stats,poll,,http://installatron.com/phpesp/demo
simplepoll,survey&stats,poll,,http://installatron.com/simplepoll/demo
phpmycounter,survey&stats,statistics,,http://installatron.com/phpmycounter/demo
piwik,survey&stats,statistics,,http://installatron.com/piwik/demo
seopanel,survey&stats,statistics,,http://installatron.com/seopanel/demo
cftp,,,,http://installatron.com/cftp/demo
fork,,,,http://installatron.com/fork/demo
openads,,,,http://installatron.com/openads/demo
phplinkdirectory,,,,http://installatron.com/phplinkdirectory/demo
phpshop,,,,http://installatron.com/phpshop/demo
tsep,,,,http://installatron.com/tsep/demo
vbulletin,,,,http://installatron.com/vbulletin/demo
zazavi,,,,http://installatron.com/zazavi/demo
postnuke,,,,http://installatron.com/postnuke/demo
