textname,urlname,textpitch,textsummary,textindustry,textstage,Location,Funding Stage,Capital Seeking,Currency,Security Type,Pre-Money Valuation,Valuation Cap,Conversion Discount,Interest Rate,Term Length (months),Previous Capital,Deal Labels,Deal Leads,Observing Investors,Considering Investors,Committed Investors,Invested Investors,Not Interested Investors,Aggregate Rating,Created On,Additional Questions
One Health Group (OHG),http://gust.com/deals/1155104,"OHG is a medical technology innovator with a mission to bring breakthrough health diagnostics, therapeutics, monitoring, and advanced analytics to market.","OHG is a health technology innovator that's initially focused on animal health by leveraging its proven, patented Ultra-WideBand radar technology to translate digital biomarkers into actionable, clinical-grade information. Our solution (Voyce) consists of a noncontact intelligent sensor, which wirelessly communicates actionable health data anywhere, at anytime via a mobile app and cloud-based dashboard. Human health solutions will follow. ",Medical Devices and Equipment,Prototype Ready,"Cazenovia, NY, USA",series_a,3000000,$,Convertible Note,,N/A,N/A,N/A,N/A,2500000,2021 SAC 19,,0,0,0,0,0,2.333333333,12/16/2020,"Question: Referred By - Answer: Faz Bashi, MD"
Portl Inc.,http://gust.com/deals/1156436,PORTL is an innovative tech platform dedicated to empowering creators with equitable tools for monetizing content and building community.,"PORTL is an innovative tech platform dedicated to empowering creators with equitable tools for sharing content and building community. We will be launching V2 of the platform soon, with expanded tools for live streaming, file sharing and monetization. In a time when extractive platforms have devalued creative content and prospered on the backs of creatives, PORTL seeks to utilize technology to empower creativity and reward community contribution.",Software,Product In Market,"Eugene, OR, US",series_seed,450000,$,Convertible Note,,10000000,20,8,36,1425000,2021 SAC 19,,0,0,0,0,0,3.125,12/27/2020,Question: Referred By - Answer:
Mango Tango,http://gust.com/deals/1160532,Wix meets Netflix,"We are building a low-code, AI driven, video streaming platform for creating Pixar-style videos.  

Team: 8 people with expertise in AI and 3d technology.

Problem: Video production is expensive costing $100k/minute for the average TV show.  

Solution: Text-to-video AI software for creating animated videos.

Market: $467B TAM with a $1.6B SOM by 2027

Model: Freemium video streaming service.

Status: Our prototype will be ready by April 2021.",Media and Entertainment,Product In Development,"Austin, TX, USA",series_seed,2500000,$,Convertible Note,,N/A,N/A,N/A,N/A,200000,2021 SAC 19,,2,0,0,0,0,2.962962963,01/27/2021,Question: Referred By - Answer:
Bottley,http://gust.com/deals/1160826,Bottley diagnoses and prevents chronic dehydration by offering tools (hardware/software) that gather user's data to create the notion of adequate hydration.,"With people matter values, Bottley develops innovative tools such as Hydrade smart-water bottle to help people to live healthier lives. 
Founded in 2015 > R&D until 2017 > Found a founding Investor 2018 > Launched a Crowdfunding campaign in 2019 and raised over $100k from 1,900 users with 2,500 unit pre-orders. ",Consumer Products,Full Product Ready,"Seattle, WA, US",series_seed,1500000,$,Convertible Note,,6,N/A,N/A,N/A,79000,,,0,0,0,0,1,,01/28/2021,Question: Referred By - Answer: Kate Fuller Ghaffari
"Diatech Diabetes, Inc.",http://gust.com/deals/1162917,Personalizing Insulin Delivery for Patients with Diabetes,"We implement innovative solutions to empower the lives of patients, families, and communities impacted by diabetes. We are developing SmartFusion: a software system that allows patients and caregivers who use insulin pumps and closed-loop (automatic) insulin delivery systems to monitor insulin infusion for accuracy, be notified of infusion set failure prior to a severe loss of blood sugar control, and receive data for improving infusion habits.",Medical Devices and Equipment,Prototype Ready,"Memphis, TN, USA",series_seed,1300000,$,Convertible Note,,N/A,N/A,N/A,N/A,288000,"2021 SAC 19 Quarter Final, 2021 SAC 19 ",,2,0,0,0,0,3.598484848,02/09/2021,Question: Referred By - Answer:
BabyLiveAdvice,http://gust.com/deals/1163217,"Technology enabled telehealth service supporting maternal-infant care from preconception to early childhood. 
","BabyLiveAdvice (BLA) is a women and nurse founded company with the mission to close the care gaps in maternal childcare and reduce maternal and infant morbidity & mortality. BLA providers deliver compassionate, effective patient focused support to expectant mothers, new parents and those caring for babies. BLA is the only company on the market that addresses maternal child health, as a complete journey addressing every pain point and gap in care.",Healthcare Services,Product In Market,"Los Angeles, CA, USA",series_seed,1000000,$,Preferred Equity,7000000,N/A,N/A,N/A,N/A,,2021 SAC 19,,2,1,0,0,1,2.888888889,02/10/2021,Question: Referred By - Answer: Kate Fuller Ghaffari
Digital Proteomics LLC,http://gust.com/deals/1163282,Digital Proteomics mines the immune response of patients to discover better antibody therapeutics for infectious diseases and cancer.,"We are harnessing the power of the immune system to develop the next generation of antibody therapeutics.  Our antibody discovery technology, Alicanto, creates a comprehensive map of the antibody response to infectious diseases and cancer and identifies therapeutic candidates optimized by the human immune system. We partner with pharmaceutical companies to provide antibody discovery services by mining the antibodies produced by real patients.  

",Biotechnology,$500K in TTM Revenue,"San Diego, CA, USA",series_seed,1525000,$,Convertible Note,,9000000,15,6,18,4407000,"2021 SAC 19 Semi-Finalists, 2021 SAC 19 Quarter Final, 2021 SAC 19 ",,5,0,0,0,0,3.884615385,02/11/2021,Question: Referred By - Answer: Pradnya Desh from Advocat
Sumer Inc.,http://gust.com/deals/1163472,Sumer is a same-day grocery delivery company for ethnic and independent grocers.,"The problem is, small grocery store owners don’t have the resources to create their own online distribution channel or outsource this function. International students and immigrants like myself can’t find the ingredients we need to cook what we’re familiar with. Sumer is a marketplace for independent, ethnic grocers. We give them a chance to compete in this fierce online industry while providing customers the products they’ve been craving. ",Retailing / Distribution,Product In Market,"Toronto, ON, Canada",series_seed,200000,$,Common Equity,500000,N/A,N/A,N/A,N/A,,2021 SAC 19,,1,0,0,0,0,2.895833333,02/12/2021,Question: Referred By - Answer:
Cozera,http://gust.com/deals/1163879,"User controlled verified digital identity for remote & in-person identity verification to improve user experience, protect privacy, deter fraud, save time/money","- Completed pilots with credit unions, launched live service in 1/21
- 3-year service agreements with 3 credit unions; estimated value $1.5M+
- Invited to FinTech program of Boeing Employee Credit Union
- Received non-recurring revenue from five top Oregon credit unions and strategic partner
- Seed round 77% raised as of 1/2021 including $ from Portland Seed Fund as Bend Venture Conf. winner, Westside Fund as Beaverton Startup Challenge winner
",Fintech,Product In Market,"Portland, OR, US",series_seed,750000,$,Convertible Note,,4500000,20,8,24,1175000,"2021 SAC 19 Semi-Finalists, 2021 SAC 19 Quarter Final, 2021 SAC 19 ",,3,1,0,0,0,4.070512821,02/15/2021,Question: Referred By - Answer: Robert Pease
Origen Air,http://gust.com/deals/1164046,The Sign of Health,"Origen Air's smart living air purifiers make investment into health and safety programs profitable for enterprises operating within public spaces. Through fleet leases and digital ad revenues, we supply and maintain air purification hardware, software, and air quality data.  Our clients use Origen Air to build consumer trust and confidence within their facilities and operations. 
",Marketing / Advertising,Prototype Ready,"Victoria, BC, Canada",series_seed,1000000,$,Convertible Note,,7000000,20,8,24,550000,2021 SAC 19,,2,1,0,0,0,3.666666667,02/16/2021,Question: Referred By - Answer: Richard Takai and John Sechrest
"Euphoria.LGBT, Inc",http://gust.com/deals/1164173,Builders of first-in-the-world technology solutions to restore individual agency and dignity to gender transition.,"After building the world's most comprehensive compendium for gender transition, Euphoria's second mobile app, Bliss, is currently in development. Bliss can be most easily thought of as the first neobrokerage for gender transition, helping users to save and grow their money and track it against their individual transition goals. Euphoria will receive a marketing stipend equivalent to 2% of the AUM from our partner brokerage.",Fintech,Product In Market,"Spokane, WA, USA",series_seed,500000,$,Common Equity,3000000,N/A,N/A,N/A,N/A,152500,2021 SAC 19,,3,0,0,0,0,3.305555556,02/17/2021,Question: Referred By - Answer:
BoxedUp,http://gust.com/deals/1164781,"BoxedUp is an on-demand equipment rental marketplace built by an Amazon engineer. Used by Nordstrom, Capital One, and hundreds more with a $260k+ ARR","BoxedUp is the first online rental marketplace that allows equipment owners to ship their gear to customers instead of relying solely on in-person transactions.

We connect owners and renters, and is used by over 165 customers, including Amazon, Nordstrom, and Capital One.

Once scaled, we'll expand into local, in-person rental experiences (e.g. heavy duty construction equipment) becoming the Amazon for rentals, centralizing rentals worldwide.",Consumer Services,Product In Market,"Seattle, WA, USA",series_seed,1500000,$,Convertible Note,,7000000,N/A,N/A,N/A,327000,2021 SAC 19,,0,1,0,0,0,2.922222222,02/21/2021,Question: Referred By - Answer: Kurt Bilafer
Flyte,http://gust.com/deals/1164789,Flyte is an AI based note-taking platform that generates well-organized meeting minutes and action items right after a call.,"Flyte is an AI based note-taking platform that generates well-organized meeting minutes and action items right after a call. Our product saves hours of rework for individuals as well as for businesses. 

Flyte integrates with Zoom, Salesforce, Outlook and other platforms to enable individuals seamlessly share meeting minutes with their team members.",Software,Prototype Ready,"Seattle, WA, USA",series_seed,500000,$,N/A,,N/A,N/A,N/A,N/A,,"2021 SAC 19 Semi-Finalists, 2021 SAC 19 Quarter Final, 2021 SAC 19 ",,7,1,0,0,0,3.916666667,02/21/2021,Question: Referred By - Answer: Thibaut Labarre
Gears Unlimited,http://gust.com/deals/1164809,Gears Unlimited is a global marketplace for DJ/Music equipment.,Gears Unlimited is a global marketplace for DJ gears. This is an app made by DJs for DJs. Our mission is to make dj equipment affordable and accessible to DJs worldwide. Our app will help DJs find the equipment they need that is within their budget in a short amount of time.,Media and Entertainment,Product In Market,"San Francisco, CA, USA",series_seed,200000,$,Convertible Note,,N/A,N/A,N/A,N/A,175000,2021 SAC 19,,1,0,0,0,0,2.472222222,02/22/2021,Question: Referred By - Answer: John Sechrest
voicelove,http://gust.com/deals/1164890,a novel technology that bridges the healthcare communication gap,"We created Voicelove while volunteering in the ICU during the height of the Covid in New York City. Hospitals had no visiting hours, and over and over families said, “Please let my loved one hear my voice.”
We adapted a walkie talkie that we could connect to a cellphone app. Using industrial design, we created a protective case that allowed a seamless transition of VoiceLove into the walls of the hospital. Deficit in communication must be fixed. ",Healthcare Services,Product In Development,"Scarsdale, NY 10583, USA",friends_and_family,1000000,$,Preferred Equity,10000000,N/A,N/A,N/A,N/A,,2021 SAC 19,,1,0,0,0,0,2.583333333,02/22/2021,Question: Referred By - Answer: Aliya Aaron
Chimerocyte Inc,http://gust.com/deals/1164981,Real Actionable Cancer Data Visualization,"Detect and quantify allogeneic cells and DNA at levels of sensitivity unreachable by other detection approaches. Chimerocyte, Inc. uses fluorescent-based real-time quantitative polymerase chain reaction technology for detection. We develop in-house services and create a commercialized kit allowing highly sensitive quantitative chimerism testing for use in clinical diagnostics, as well as for scientific research.",Biotechnology,Product In Development,"Seattle, WA 98111, USA",series_seed,0,$,Preferred Equity,1050000,N/A,N/A,N/A,N/A,,2021 SAC 19,,0,0,0,0,1,2.416666667,02/23/2021,Question: Referred By - Answer: Wesley Johnson
Turtle AiP,http://gust.com/deals/1164988,Empowering family to support elders Aging in Place.,"Seniors prefer to age in place, but family members near or distant need assurance that their elders can stay safe and get the right help when needed. Families subscribe to Turtle to watch over unobtrusively using our app, existing smart home sensors or the Turtle Device. Turtle’s AI engine spots subtle behavioral changes, takes action for urgent needs and coordinates family care--delivering peace of mind to the whole family.",Healthcare Services,Product In Development,"Seattle, WA 98111, USA",friends_and_family,500000,$,Convertible Note,,N/A,20,10,60,50000,2021 SAC 19,,4,0,0,0,0,3.05952381,02/23/2021,Question: Referred By - Answer:
ACTERRA TECH LTD.,http://gust.com/deals/1164994,"A bio agtech solution empowering crop producers to make microbially-enhanced biofertilizers from biodiesel, while farming, eliminating synthetic fertilizers. ","Acterra is the exclusive biostimulant comarketed in NA with the Bio-Agtive Method for crop production.  While producers seed or spray crops, they capture and solubilize biodiesel emissions and simultaneously apply the solution to soil. This system replaces synthetic fertilizer, saves farmers up to $100/acre/year.  No crop system outcompetes on farm profitability or biosequesters CO2 at the unprecedented rate of Bio-Agtive and Acterra's method. ",Agriculture,Full Product Ready,"Vernon, BC, Canada",series_seed,400000,$,Convertible Note,,4000000,10,0,3,,"2021 SAC 19 Semi-Finalists, 2021 SAC 19 Quarter Final, 2021 SAC 19 ",,5,0,0,0,0,3.541666667,02/23/2021,Question: Referred By - Answer: Frank Leffelaar
"Ciari Guitars, Inc.",http://gust.com/deals/1164997,Disruptive music tech enabling stress-free guitar mobility.,"Ciari Guitars is disrupting the guitar industry via a line of folded fretted instruments boasting pro-quality (an industry first) and ""personal item"" convenience (also an industry first) to enable stress-free guitar mobility. We're targeting professional musicians and hobbyists/enthusiasts who travel, with a segmented line of premium and mid-tier models, perfect for air, auto, RV, motorcycle, or boat/yacht. CEO Inventor is also patent attorney! ",Consumer Products,Product In Market,"San Diego, CA 92101, USA",series_seed,1500000,$,Convertible Note,,4500000,20,N/A,N/A,1341500,2021 SAC 19,,3,0,0,0,0,3.659090909,02/23/2021,Question: Referred By - Answer: Dave Malcolm and Dan Dillinger.
Timechain technologies inc.,http://gust.com/deals/1165078,https://www.crunchbase.com/organization/timechain,"The vision is to change the world of finance through innovative products and a strong entrepreneurial culture. Timechain is the solution to the problems of accessibility and cost in the field of currency exchange for large sums of money (average of one hundred thousand dollars). Indeed, the interbank SWIFT system charges much higher rates and with significant delays (4-20 days).",Other,Product In Market,"Montreal, QC H2W, Canada",series_a,5000000,$,Common Equity,20000000,N/A,N/A,N/A,N/A,,2021 SAC 19,,0,1,0,0,0,3.5,02/23/2021,Question: Referred By - Answer:
SurgScan,http://gust.com/deals/1165111,"Placing global medical expertise in the hands of a Provider in need. 
","SurgScan is Smartphone App Platform with the mission of empowering healthcare providers in resource limited, rural, conflict, natural disaster and emergency crises settings with the support, resources, and tools they need to optimize their capacity to treat those with emergent needs and enhance access to emergency, trauma, and surgical care services worldwide through tech-driven & globally collaborative innovation.
",Healthcare Services,Concept Only,"Seattle, WA 98111, USA",series_seed,250000,$,Preferred Equity,0,N/A,N/A,N/A,N/A,2500,2021 SAC 19,,1,0,0,0,0,1.875,02/23/2021,Question: Referred By - Answer: Wes Johnson
"OVAL Digital, Inc.",http://gust.com/deals/1165127,"OVAL is a 5-in-1 smart sensor that monitors and alerts you in real-time to sudden or gradual changes in motion, light, temperature, humidity and water.","OVAL Digital is a smart sensor company that makes indoor home monitoring and awareness accessible, flexible, easy, & personal. From theft, to water leaks, and everything in between, OVAL empowers you to react in real-time - helping you to improve the safety & comfort of loved ones, reduce or prevent damage, conserve energy, save time & money. OVAL sells into B2C and B2B markets focusing on homeowners, renters and property managers.
",Consumer Products,Full Product Ready,"New York, NY, US",series_seed,1500000,$,Convertible Note,,6000000,20,N/A,N/A,950000,2021 SAC 19,,4,1,0,0,0,4.638888889,02/23/2021,Question: Referred By - Answer: Received an email from Wes Johnson
Micro-AV SPC,http://gust.com/deals/1165145,"Micro-AV brings vehicle automation to micro-vehicles, creating better and less expensive solutions to urban transportation.","Micro-AV's affordable, electric, driverless microvehicles aim to replace most city buses and cars in 10-20 years. The MilliPod vehicle platoon costs half as much as the buses it replaces and offers a faster ride. The lead vehicle is professionally driven, but the passenger pods are fully automated. The Millipod never stops to pick up riders; they join on the fly.
Micro-AV's team from UW, Tesla, GM, Segway and Boeing offers autonomy for everyone.
",Transportation,Product In Development,"Seattle, WA, USA",series_seed,200000,$,Common Equity,500000,N/A,N/A,N/A,N/A,150000,2021 SAC 19,,1,0,0,0,0,3,02/23/2021,Question: Referred By - Answer:
Satchl,http://gust.com/deals/1165147,Satchl's patented method enables users to access and enroll in accounts by scanning a single token with participating vendors on public devices.,"Using our patented method, Satchl authenticates users by providing an all-access token to be used with participating vendors in public spaces. 

Our method provides users many benefits: easily share and limit access with household members, no searching or scrolling for the right card, passwordless, vendor customized content for specific users on a shared account.

Our method can also improve vendor data and increase usage of their services.",Other,Full Product Ready,"Seattle, WA, USA",series_seed,200000,$,Convertible Note,,N/A,N/A,N/A,N/A,,2021 SAC 19,,0,0,0,0,1,1.833333333,02/24/2021,Question: Referred By - Answer:
Motis Inc,http://gust.com/deals/1165215,"Enterprise employee development platform that brings individual learning, performance, and work together into one location at scale.","2020 changed the workplace forever. The world is moving towards flexibility. Current people systems are inflexible, expensive, and fail to develop people. Motis Grow works differently.  Grow’s cloud-based employee development platform empowers managers anywhere to understand, develop and upskill every employee in the organization from C-Suite to new hire. The result?  Savings of up to 75%, time back on the calendar, and improved talent retention.",Software,Product In Market,"Seattle, WA, USA",series_seed,2000000,$,Convertible Note,,N/A,N/A,N/A,N/A,335000,2021 SAC 19,,1,0,0,0,0,4.114583333,02/24/2021,Question: Referred By - Answer: WTIA Founders Group
Twishr,http://gust.com/deals/1165234,Twishr is a network marketplace for children's activities that connects Providers and Customers for the greater goal of helping children reach for the stars.,"Twishr is a network marketplace for children's activities -  we connect Providers with Parents and with each other. There is a lot of friction at all these connection points. Millennial Parents , and Millennial Providers want more on user experience, and nothing in the market that solves those friction points. 2020 was year of social activities like Peloton and Strava. We are building Twishr to be the social network for kid's activities. ",Education,Full Product Ready,"Bothell, WA, USA",series_seed,200000,$,Preferred Equity,,N/A,N/A,N/A,N/A,60000,2021 SAC 19,,0,0,0,0,0,3.055555556,02/24/2021,Question: Referred By - Answer:
"Golden SHERPA, Inc.",http://gust.com/deals/1165235,Senior Living communities and people looking for availability in senior living find it frustrating and difficult to connect; GoldenSHERPA makes it simple.,"Senior living communities commit thousands of dollars and resources to find leads to fill empty beds, but not all leads are good. GoldenSHERPA provides senior communities a subscription-based online senior living marketplace bypassing referral costs and outdated communication modes, allowing communities and appropriate users to match in real-time, creating actionable referrals, reducing the cost, time, and frustration of filling an empty bed. ",Healthcare Services,Product In Market,"Spokane, WA, USA",,,$,N/A,,N/A,N/A,N/A,N/A,50000,"2021 SAC 19 Quarter Final, 2021 SAC 19 ",,3,0,0,0,0,3.333333333,02/24/2021,Question: Referred By - Answer: Jaren Schwartz
MeowTalk LLC,http://gust.com/deals/1165323,"Translate your cat's meows with MeowTalk, the app that uses Machine learning to help owners develop a deeper bond with their feline companion.","MeowTalk is an application that helps users understand their cats on a deeper level by translating their meows, allowing them to better serve their cats’ needs for health, safety and nurturing, while strengthening their bond with their cats in the process. MeowTalk isn't just an app - it is a platform that hosts a collection of cat health services, with the goal of helping cats to enjoy longer, healthier, and happier lives.",Media and Entertainment,Product In Market,"Bellevue, WA, USA",series_seed,500000,$,Convertible Note,,N/A,N/A,N/A,N/A,,2021 SAC 19,,3,0,0,0,0,3.833333333,02/24/2021,Question: Referred By - Answer:
Memoryz,http://gust.com/deals/1165333,"Memoryz supports families experiencing dementia through our digital caregiving community, chat-based companionship and task reminders.","Memoryz functions as a stand-alone caregiver (CG) app or a family-focused caregiver-care receiver (CR) app. At its core, CGs use Memoryz to create task reminders, schedule events for their loved one & receive self-care reminders/mood support from other CGs via our chatbot Iris. Adding a CR interface allows CGs to send reminders directly to their loved ones, receive instant updates on completion and introduce Iris-based support for companionship.",Healthcare Services,Full Product Ready,"Toronto, ON, Canada",series_seed,500000,$,Preferred Equity,2500000,N/A,N/A,N/A,N/A,,2021 SAC 19,,3,0,0,0,0,3.510416667,02/24/2021,Question: Referred By - Answer: Kate Fuller Ghaffari
NURA Medical Inc.,http://gust.com/deals/1165334,Building technology to innovate patient care,"At NURA Medical, our mission is to improve patient safety and clinical efficiency. As such, we are developing a semi-automated IV medication assistant to reduce the incidence of adverse effects related to bolus IV medication within emergency departments and to relieve the burden that medication preparation poses on nurses.",Medical Devices and Equipment,Product In Development,"Montreal, QC, Canada",friends_and_family,500000,$,N/A,,N/A,N/A,N/A,N/A,,2021 SAC 19,,0,0,0,0,0,1.766666667,02/24/2021,Question: Referred By - Answer:
Pictory.AI,http://gust.com/deals/1165335,"Pictory is the AI that helps marketers say more with less. 
","The #1 challenge for social media marketers today is constantly creating fresh and engaging short-form content. Meanwhile, their companies are sitting on mountains of long-form content, blogs, webinars, or podcasts. Pictory uses AI to produce a month of multimedia social content out of a single blog post, webinar, or podcast in minutes. With over 1000 users and several dozen paying customers, we are seeing early signals of a product-market fit.
",Internet / Web Services,Product In Market,"Bothell, WA, USA",series_seed,800000,$,Convertible Note,,5000000,20,5,24,150000,"2021 SAC 19 Semi-Finalists, 2021 SAC 19 Quarter Final, 2021 SAC 19 ",,3,0,0,0,0,3.571428571,02/24/2021,Question: Referred By - Answer: John Sechrest
"Pathfinder Health, Inc.",http://gust.com/deals/1165349,Clinically-focused parenting app and digital health platform to detect and accelerate care for developmental delay (1 in 5 children).,"A parent-centric digital health platform to increase detection of developmental delay conditions (affects 1 in 5 children) and faster access to care for better outcomes. We have an asset light business model, compete in $500B market segments, and have an aggregated customer acquisition model with built-in viral mechanics. We are partnered with Children’s Hosp Phila. and Dept. of Defense. In active discussions with P&G, J&J, and Zero to Three.",Healthcare Services,Product In Market,"Seattle, WA, USA",series_seed,500000,$,Convertible Note,,7500000,20,10,36,400000,2021 SAC 19,,1,0,0,0,0,2.833333333,02/24/2021,Question: Referred By - Answer: Dan Kanivas
