textname,urlname,description,textcontact,textphone,textindustry,numstartdate
Mobilskole,Mobilskole.no,Software for communication focus on the use case of schools.,,,ICT,
Mobilskole.no,Mobilskole.no,a provider of mobile communication services to the education sector.,,,ICT,
Moota,moota.com,develops a Mobile Client Configuring Platform solution for configuring and provisioning customers' mobile phones ranging from entry level phones to smart phones. ,,,ICT,
Motech / Norsk Tekna Plasma.	,motechplasma.com,surface treatment of metals through pulsed plasma technology.,,,Technology,
Musicnodes,musicnodes.no,Music sharing service where publishers earn money for tracks shared.,,,ICT,
MyEnergy,MyEnergy.no,a web application that helps you to track and reduce household energy usage.,,,ICT,
myvr-software,myvr-software.com,Visualization platform / 3D maps,,,ICT,
Navita,navita.com,"enterprise-class commodity trading and risk management system. From IFE, Halden",,,ICT,
Neo Power Technology,neoptech.com,research and application of supersonic detonation as an alternative to burning fossil fuels resulting in much higher fuel efficiency.,,,Technology,
NeoRad,neorad.no,NeoRad creates new products for the health care industry that improve the quality of well-established medical procedures. ,,,Health,
Neovelda,novelda.no,wireless low-power technology for ultra high resolution impulse radar.,,,,
NetStorm AS ,netstorm.no,"NetStorm develops business oriented process management products that deliver optimization of insurance coverage, quality assurance, document exchange, nonconformance reporting, and general earnings through improved clarity, control and speed of management.",,,ICT ,
Network Norway,,Cellphone infrastructure (3G/4G),,,,
Never,never.no,social TV / cross-platform campaigns,,,,
Nicarnica,nicarnica.com,develops UV and IR imaging technologies to identify hazardous particles like ash and SO2 in the air.,,,Technology,
MittAnbud,Mittanbud.no,marketplace for professional contractors.,,,ICT,
Nordic Nanovector,nordicnanovector.no,develops innovative anticancer therapeutics against a previously unused Non-Hodgkins lymphoma (NHL) antigen. We have developed a nanovector based on a tumor specific antibody and a radioactive nuclide. The nanovector seeks out the lymphoma cells and the radiation destroys them.,,,Biotech,2009
Nordic Quantum Computing Group AS	,nqcg.com, research and development in the area of commercial exploitation of nano- and converging technologies. Our main area of interest is Quantum Information Processing and Communication (QIPC).,,,ICT ,2004
Norphonic ,norphonic.no,"Heavy duty VoIP telephone for use in challenging environments. Made for use in humid, dirty, vibrating or extreme temerature enviorments where other phones fail. ",,,Technology,2004
Norse Solutions,norse-solutions.com,"software for administration, accounting and disclosure of share-based payment programs.",,,ICT,2002
Norwegian Electro Ceramics As,norecs.com,specialize in equipment for characterization of electrical properties of materials at high temperatures and under controlled atmospheres.,,,Technology,
OCAS AS,,,,,,
Omegatri,omegatri.no,Making powders from omega3,,,Biotech,
One2Touch,12touch.no,battery-free NFC enabled keyboard for having quick wireless keyboard functionality for cellphones.,Øyvind Holtedahl,oh@one2touch.no,Technology,
OnePageOnly ,onepageonly.net,is a simple online time tracking service.,,,ICT,
OptiNose AS	,optinose.no,"OptiNose's innovative breath-powered nasal delivery technology is designed to efficiently and reliably deliver drugs to targeted, hard-to-reach areas to treat a variety of medical conditions.",,,Health ,2000
OrigoID	,origoid.com,develops a contactless solutions for fingerprint identification called Biowave. ,,,Technology,2009
Oslo Business Memo AS	,oslobusinessmemo.no,Publication for business news in the Oslo region.,,,Other,
Ostomycure AS	,ostomycure.no,"a medical technology company, developing an innovative new solution for evacuating of fluids from the intestines.",,,Health ,
Outracks Technologies AS,outracks.no,,,,,
Outsmart.no ,Outsmart.no,a back-office accounting service for SMBs and accountants in Norway.,,,ICT,
Ovitas,ovitas.no,develops solutions and services within the fields of content management and knowledge management. ,,,ICT,1995
OWEC Tower AS,owectower.no,develop tower constructions for offshore wind turbines and conduct studies and expertise in connection with the tower construction.,,,Energy,2004
Oxymed ,oxymed.no,driver kontraktforskning for Geir Corporation og utvikler medisinske produkter på basis av den teknologi som er utviklet og patentert av Geir Corporation. ,,,Health ,
Page Planner Solutions,pageplannersolutions.com,"web based editorial content management and production system for publications. Multichannel publishing to print, smartphones, web and tablets. ",,,ICT,
Pagerati,pagerati.no,Wordpress hosting,,,ICT,2011
Palliance Pharma AS,,"utvikler og markedsfører ernæringstilskudd, livsstilsprodukter og medisinske tilbehør for apotek og det profesjonelle helsemarkedet. ",,,Health ,2006
Pattern Solutions AS,patternsolutions.no,develops technology for data mining and pattern recognition of huge data sets (big data). The technology has been applied to varied business cases ranging from salmon production to understanding decease development.,,,ICT,
Petrostreamz ,petrostreamz.com,develops software for chaining applications together in series and parallel to optimize petrolium assets like gas and oil.,,,ICT,
Phonect,phonect.no,provider of IP telephony in Norway.,,,ICT,
Polypure ,polypure.com,develops and manufactures monodisperse PEG derivatives for advanced technologies,,,Biotech,1999
Preseria ,presaria.com,a web-based planning and publishing tool for organizers and presenters.,,,ICT,
Printify,printify.it,,,,ICT,
Promon,promon.no,software security through heuristic shield (pro-active),,,ICT,
PronotoTV,prontotv.no,"provider of turn-key solutions for digital signage including software, hardware, surveillance, support and content production.",Ola Sæverås,ola@prontotv.no,ICT,1999
Prota AS	,, ,,,Technology,
Protia,protia.no,membrane reactor for converting natural gas to fuel,,,Technology,
Prygon,prygon.no,games,,,ICT,
QM+,qmplus.net,"develops a online based tool for internal control, quality management, process management and HES (Health, Environment, Safety).",,,ICT ,
Qotics,qotics.no,develops a drugs against multi-resistant Gram-negative bacteria based on a bacteriophage system.,,,Biotech,
Questback ,questback.com,provides online survey software and services.,,,ICT,
Regenics AS	 ,regenics.no,develop and patent technologies and products for therapeutic wound healing and cosmeceutical applications.,,,Health ,2000
RelTime,reltime.com,,,,,
Resenator,resonator.no,linear electric machines for use in oil drilling and intervention operations,Svein Hestevik,svein.hestevik@resonator.no,Technology,
Rubrikk.no ,Rubrikk.no,online classifieds site in Norway. The company is also behind annonseguiden.se.,,,ICT,
Scandino,scandino.com,,,,ICT,
Scan4news AS,scan4news.com,Scan4News creates tools to search and navigate information. The tools range from news monitoring to portals for verticals like grants.,,,ICT,2005
Scatec Solar,,"Scatec Solar is a leading supplier of PV energy solutions, focusing on making solar power attractive and affordable to customers and investors worldwide. Deploying the best available technologies to develop, build and operate PV systems, Scatec Solar takes care of all aspects of your PV project from securing permit rights to final commissioning and operation of the solar system.",,,Technology,2001
Searchdaimon AS,searchdaimon.com,"develops a search solution that let you search information from documents, attachements, e-mail, customer relation systems (CRM) and other content sources.",,,ICT,2005
Serodus,serodus.com,therapeutic products for the treatment of cardiovascular diseases,,,Health,
Setred,setred.no,3D display technology without need for goggles,,,Technology,
Simsurgery,simsurgery.com,software/hardware for surgical training through VR,,,Technology,1999
Smartfish AS	,smartfish.no,developing synergistic omega 3 based pharmaconutrition products. The patented technology is basis for the product range of orally applied liquid emulsions.,,,Biotech,2001
Smud,smud.no,,,,,
Snappit,Snappit.no,Mobile application for ordering from restaurant menus,,,ICT,
SocialBoards,socialboards.no,Portal for handling customer feedback and questions that ties into social media like Facebook.,,,ICT,
SocialCee,socialcee.com,,,,,
Solid Publication,solidpublication.com,SAAS tools to manage and analyse company activities in social media channels,,,ICT,
Soundrop,soundrop.com,social jukebox for Spotify allowing groups to share a playlist and vote for favorite songs. The songs with the most votes get played next.,,,ICT,2011
SquareHead ,sqhead.com,,,,Technology,
Stay.com ,Stay.com,a personal online travel guide.,,,ICT,
StormDriver ,stormdriver.com," a web app that combines user recommendations, activity patterns and automated website analysis, to help you discover and share quality content.",,,ICT,
Strongman Games,http://blog.strongmangames.co.uk/,games developer. located in london,,,ICT,
Superoffice,superoffice.com,CRM software,,,ICT,
Symphonical ,symphonical.com,is an online project management and group interaction service based around post-it notes.,,,ICT,
Synaptic AS,www.synaptic.no,Synaptic is developing a Real Time Web that allows real time data / state data to be exchanged without webservers or API's. The RTW would function on the same infrastructure as the WWW. The highlighted usecase is for the Internet of Things. ,,,ICT,
Synthetica AS	,synthetica.no,independent synthesis laboratory providing contract research and custom sythesis laboratory work.,,,Biotech,
Task Camp,taskcamp.no,developing a crowdsouring platform for outsourcing tasks related to online marketing,Michael Jonhson,,ICT,
TaxiStation,taxistation.no,mobile app for ordering and paying for taxi rides with patented ordering process,Trond Paulsen,,ICT,
TextUrgy AS,texturgy.com,Automatic topicalisation of text,,,ICT,
The Online Backup Company,onlinebackupcompany.no,,,,,
Tidewave,tidewave.no,Automated patient mattress for healthcare institutions,,,Health,
Trianglo,trianglo.com,Module based furniture,,,,
tripletex.no ,tripletex.no,,,,ICT,
Trollhetta AS,trollhetta.com,offering bespoke artificial intelligence and image understanding solutions for the energy and fish farming sectors.,,,ICT,
T-Rank,trank.no,,,,ICT,
ultimovacs,ultimovacs.com,peptide based therapeutic cancer vaccine,,,Health,
UniGeo,unigeo.no,interactive courses in geosciences,,,ICT,
Utfylt.no ,Utfylt.no ,a simple web-based accounting and reporting app targeted at small businesses and sole proprietorships (via @andreashennie).,,,ICT,
Varnish Software,varnish-software.com,"international service provider for the open source Varnish Cache solution. Started in VG Multimedia, developed by Redpill Linpro then spun off as separate company.",,,ICT,2010
VBPR AS	,vbpr.no,Volcanic Basin Petroleum Research is a research and consulting company focused on Volcanic basins. In addition to consulting work they develop a concept for acquisition of high-resolution 3D seismic data called the PCable.,,,ICT ,
Vidamo,vidamo.no,"Mobile marketing agency with a platform offering a wide range of solutions aimed at the dynamic relationships between enterprises, people and their mobile devices.",,,,
Vinatta ,vinatta.com/,develops referral marketing software.,,,ICT,2011
vippy,vippy.co,Video hosting / SEO,,,ICT,
Virtual Game Worlds,www.vgworlds.com/,games,,,ICT,
Viseno,roomsketcher.com,,,,ICT,
VITAS AS ,vitas.no,"certified chemical analysis contract lab, providing a high quality, custom chromatographic analytical service based on cutting-edge knowledge and technology.",,,Biotech,
WebDance TV,webdancetv.com,Video-on-demand service focused on instructional videos for learning dancing.,,,ICT,
Webjobbing,webjobbing.no,Marketplace for webdesign/-development work,,,ICT,
Welfaremeter Expert System,,,,,,
Windflip,windflip.com,,,,Technology,
WooThemes,woothemes.com,,,,,
XT Software AS,energy-xt.com,Software tools for creating music. ,,,ICT,
Yast.com ,Yast.com ,is a SAAS online time tracking solution that also allows you to track phone calls.,,,ICT,
Yes! games,yes-games.com,,,,ICT,
Ziegler,,,,,,
